OrderID,CustomerName,Email,Region,Product,Quantity,UnitPrice,Total,OrderDate,DeliveryStatus,PaymentStatus
ORD1164,Akhil Devi,akhil.devioutlook.com,Mumbai,HDMI Cable,1,7817,7817,2021/11/09,Returned,COD
ORD1300,Anita Verma,anita.verma@hotmail.com,Lucknow,Power Bank,2,1270,2540,Apr 11 2022,Cancelled,Unpaid
ORD1261,Imran,imran.patel@mail.com,Mumbai,Ink Cartridge,1,852,852,26-Jan-2016,Cancelled,COD
ORD1105,Ramesh Patel,ramesh.patel@hotmail.com,Bengaluru,Smartwatch,1,6966,6966,26.11.2017,Pending,Refunded
ORD1211,Ritika Sharma,,Delhi,Keyboard,1,834,834,29 Jul 2020,Returned,COD
ORD1078,Anita Kaur,,Delhi,Speaker,-1,1776,-1776,16 August 2021,In Transit,Paid
ORD1378,Rita Nair,rita.nair@outlook.com,Jaipur,Ink Cartridge,1,834,834,16 Feb 2023,Cancelled,Refunded
ORD1545,Amit Sharma,amit.sharma@mail.com,Chennai,Mouse,1,,536,20-Aug-2018,Out for delivery,Unpaid
ORD1425,Sourav Patel,sourav.patel@yahoo.com,Bengaluru,Microphone,1,3022,3022,28-12-2017,Pending,Paid
ORD1594,Ritika Kapoor,ritika.kapoor@hotmail.com,Ahmedabld,Router,1,3747,3747,2022-06-05,Cancelled,COD
ORD1205,Rita Kumar,rita.kumar@yahoo.com,Pune,Laptop,1,39467,19733,2017-07-08,In Transit,Refunded
ORD1362,Sita Gupta,sita.gupta@mail.com,Chennai,Ink Cartridge,one,904,904,2019/11/18,Delivered,Unpaid
ORD1031,Mohan Sharma,mohan.sharmaoutlook.com,Pune,Microphone,1,2715,2715,2024-09-29,Out for delivery,Paid
ORD1568,Akhil Singh,akhil.singh@mail.com,qucknow,Printer,4,8870,35480,04-09-2015,Cancelled,COD
ORD1451,Vijay Nair,vijay.nair@mail.com,Lucknow,Headphones,1,1684,1684,2018/10/18,Out for delivery,Refunded
ORD1381,Arjun Khan,arjun.khan@yahoo.com,Chennai,Keyboard,1,885,885,2018/06/09,Delayed,Unpaid
ORD1356,Rita Gupta,rita.gupta@outlook.com,Chennai,Charger,-2,470,-940,15 July 2022,Out for delivery,Unpaid
ORD1102,Kamal Sharma,kamal.sharma@outlook.com,Jaihur,Speaker,2,1709,3418,2016/08/26,Delayed,Paid
ORD1205,Rita Kumar,rita.kumar@yahoo.com,Pune,Laptop,1,39467,19733,2017-07-08,In Transit,Refunded
ORD1196,Sita Reddy,sita.reddy@hotmail.com,Delhi,Graphic Card,1,23617,23617,23-Aug-2022,Pending,Refunded
ORD1245,Mohan Kapoor,mohan.kapoor@outlook.com,Ahmedabad,HDMI Cable,1,,3838,11-03-2017,Returned,Refunded
ORD1071,Suresh Nair,sureshnair@outlook.com,Hyderabad,SSD Pro,1,4766,4766,20-Oct-2016,Cancelled,Refunded
ORD1235,Pooja Bose,pooja.bose@gmail.com,Lucknow,Power Bank,1,1302,1302,2023/05/30,Delivered,COD
ORD1508,Mohan Gupta,mohan.gupta@hotmail.com,Hqderabad,Graphic Card,2,27473,54946,06-02-2016,Returned,Unpaid
ORD1154,Amit Kaur,amit.kaur@yahoo.com,Bengaluru,Smartwatch,1,7778,7778,30-04-2017,In Transit,Refunded
ORD1149,Rohit Nair,rohit.nair@gmail.com,Pune,Headphones,1,1539,1539,30-11-2016,Delayed,COD
ORD1083,Geeta Chowdhury,geeta.chowdhury@hotmail.com,Lucknow,Phone Case,4,338,1352,Sep 24 2023,In Transit,Unpaid
ORD1495,Ramesh Gupta,,Chennai,Keyboard,1,740,740,Nov 14 2018,Delayed,Unpaid
ORD1232,Rita Sharma,rita.sharma@outlook.com,Bengaluru,Power Bank,2,1343,2417,03-Aug-2023,Out for delivery,Paid
ORD1550,Mohan Gupta,mohan.gupta@hotmail.com,Kolkata,Phone Case,1,317,317,2021-09-15,Returned,COD
ORD1269,Sana Patel,sanapatel@gmail.com,Lucknow,Mouse,1,531,531,21/01/2021,In Transit,Refunded
ORD1030,Deepak Khan,deepak.khan@gmail.com,Chennai,USB Cable,one,185,185,Aug 10 2023,Returned,COD
ORD1518,Sana Gupta,sana.gupta@gmail.com,Delhi,Smartwatch - refurbished,1,7616,7616,25.06.2018,Returned,Unpaid
ORD1212,Jaya Reddy,jaya.reddy@outlook.com,Jaipur,Router,1,3017,3017,28 Jun 2018,Delivered,Unpaid
ORD1025,Ritika Gupta,ritika.gupta@hotmail.com,Mhmbai,SSD,2,4389,8778,23/05/2022,Delivered,Paid
ORD1166,Vikas Chowdhury,,Jaipur,Mouse,1,493,493,26 September 2020,Pending,Refunded
ORD1571,Jaya Devi,jaya.devi@yahoo.com,Kolkata,Graphic Card,1,27357,27357,22-01-2022,Delivered,Paid
ORD1504,Sneha Chowdhury,sneha.chowdhury@yahoo.com,Pune,Keyboard,1,703,703,23-08-2024,Pending,Paid
ORD1141,Akhil Kapoor,akhil.kapoor@mail.com,Kolkata,Ink Cartridge,1,717,717,May 21 2017,Pending,Refunded
ORD1276,Meena Sharma,meena.sharma@outlook.com,Jaipur,Monitor,1,8211,8211,23.10.2024,Returned,COD
ORD1185,Kamal Nair,kamal.nair@gmail.com,Delhi,USB Cable,1,205,205,25-06-2020,Pending,Unpaid
ORD1236,Rahul Khan,rahul.khan@outlook.com,Ahmedabad,Headphones,2,1327,2654,2018/07/16,Cancelled,COD
ORD1409,Ritika Sharma,ritika.sharma@hotmail.com,Bengaluru,HDMI Cable,one,1897,1897,2021-03-10,In Transit,Paid
ORD1077,Jaya Gupta,jaya.gupta@yahoo.com,Chennai,Microphone,1,2790,2790,2016-03-02,Delivered,COD
ORD1557,Amit Iyer,amit.iyer@hotmail.com,Bengaluru,Mouse,1,488,488,2023-01-16,Cancelled,Refunded
ORD1064,Ritika Singh,ritika.singh@mail.com,Hyderabad,HDMI Cable,1,1999,1999,24.06.2016,In Transit,Paid
ORD1275,Karan Gupta,,Mumbai,SSD,2,3756,7512,25-Mar-2019,Out for delivery,COD
ORD1073,Rita,rita.reddy@hotmail.com,Kolkata,SSD,4,3852,15408,19-Dec-2023,Pending,Unpaid
ORD1453,Latika Chowdhury,latikachowdhury@gmail.com,Lucknow,HDMI Cable,1,3112,3112,2016/09/06,Cancelled,Unpaid
ORD1079,Jaya Bose,jaya.bose@outlook.com,Chennai,SSD,1,3933,3933,18/02/2020,Delayed,COD
ORD1573,Geeta Chowdhury,geeta.chowdhury@mail.com,Hyderabad,Graphic Card,1,25563,25563,03.07.2019,Delayed,Unpaid
ORD1354,Rita Patel,rita.patel@hotmail.com,Kolkata,Charger,2,509,1018,24 Nov 2021,Returned,Refunded
ORD1382,Deepak Verma,deepak.verma@mail.com,Jaipur,Keyboard,1,789,789,2016-08-16,Out for delivery,Refunded
ORD1369,Sana Gupta,sana.gupta@hotmail.com,Delhi,Smartwatch,1,8034,8034,2021/06/04,Pending,Unpaid
ORD1549,Ramesh Chowdhury,ramesh.chowdhurymail.com,Bengaluru,Charger,1,522,522,18 Dec 2021,Cancelled,Paid
ORD1312,Rita Devi,rita.devi@gmail.com,Pune,Printer,1,7653,7653,14.09.2023,Returned,Paid
ORD1007,Karan Iyer,karan.iyer@gmail.com,Hyderabad,Phone Case,2,259,518,19 December 2015,Delivered,Refunded
ORD1332,Vijay Khan,vijay.khan@hotmail.com,Chennai,Webcam,1,2256,2256,09/07/2023,Returned,Refunded
ORD1370,Sana Verma,sana.vermayahoo.com,Mumbai,Charger,3,514,1542,25/09/2016,In Transit,Unpaid
ORD1482,Sana Nair,sana.nair@outlook.com,Kolkata,Headphones,3,1687,5061,09 January 2016,Pending,Paid
ORD1376,Latika Kaur,latika.kaur@yahoo.com,Delhi,SSD,3,4753,7129,03-Jun-2020,Cancelled,Paid
ORD1405,Imran Sharma,imran.sharma@hotmail.com,Chennai,USB Cable,1,176,158,06-03-2022,Returned,COD
ORD1087,Priya Khan,priya.khan@yahoo.com,Mumbai,Power Bank,2,1224,1224,18-01-2017,Returned,Refunded
ORD1111,Neha Bose,neha.bose@outlook.com,Ahmedabad,Laptop,1,44319,44319,18/02/2015,Cancelled,Unpaid
ORD1266,Karan Kumar,karan.kumar@outlook.com,Delhi,Microphone,one,2766,2766,22/03/2015,Cancelled,Refunded
ORD1483,Pooja Khan,pooja.khan@gmail.com,Ahmedabad,Phone Case,2,288,576,2016/09/08,Delivered,Unpaid
ORD1368,Geeta Iyer,geeta.iyer@hotmail.com,Bengaluru,Speaker,one,1695,1695,21 May 2021,Returned,Refunded
ORD1182,Amit Patel,amit.patel@hotmail.com,Hyderabad,Speaker,2,2025,4050,Jul 13 2015,Cancelled,COD
ORD1146,Priya Iyer,,Lucknow,SSD,1,3902,3902,01.07.2021,Returned,Refunded
ORD1501,Rohit Gupta,rohit.gupta@outlook.com,Hyderabad,Graphic Card Plus,2,27874,55748,Dec 11 2016,Cancelled,COD
ORD1481,Priya Sharma,priya.sharmagmail.com,Delhi,Charger,2,553,1382,2019/10/26,In Transit,Unpaid
ORD1074,Pooja Reddy,pooja.reddy@outlook.com,Hyderabad,Monitor,1,8907,8907,09/07/2016,Delayed,Unpaid
ORD1040,Sneha Chowdhury,sneha.chowdhury@outlookcon,Kolkata,Smartwatch,2,6107,12214,20.01.2018,In Transit,Refunded
ORD1534,Akhil Reddy,akhil.reddy@outlook.com,Lucknow,Webcam,1,2051,2051,18-Jul-2018,Cancelled,Refunded
ORD1442,Rahul Iyer,rahul.iyer@gmail.com,Bengaluru,Monitor,1,8539,8539,2024/03/11,Out for delivery,COD
ORD1067,Sana Sharma,sana.sharma@gmail.com,Lucknoc,Graphic Card,1,25406,31757,09/05/2020,Delivered,Refunded
ORD1124,Sita Iyer,sita.iyer@gmail.com,Lucknow,Smartwatch,1,7423,7423,05-02-2021,Returned,Unpaid
ORD1136,Ritika Chowdhury,ritika.chowdhury@yahoo.com,Hyderabad,Printer - refurbished,1,8488,9336,13 June 2021,Returned,Unpaid
ORD1249,Karan Devi,karan.devi@hotmail.com,Bengaluru,Laptop,2,46401,92802,15-05-2023,Pending,Refunded
ORD1559,Ritika Verma,ritika.verma@outlook.com,Lucknow,Speaker,1,1854,1854,25.12.2023,Cancelled,Paid
ORD1061,Latika Iyer,latika.iyer@mail.com,Kolkata,SSD,1,4789,5986,24-Jun-2019,Pending,Paid
ORD1110,Arjun Singh,arjun.singh@mail.com,Pune,Power Bank,2,1128,2256,2016-05-16,Delivered,COD
ORD1427,Arjun Nair,arjun.nair@outlook.com,Kolkata,Microphone,1,2637,2637,2017-03-09,Out for delivery,Unpaid
ORD1287,Kamal Kapoor,kamal.kapoor@hotmail.com,Hyderabad,Tablet Pro,one,17193,17193,25-09-2016,Delayed,Refunded
ORD1551,Rahul Sharma,rahul.sharma@gmail.com,Mumbai,Printer,1,7961,7961,18/02/2022,Delayed,Refunded
ORD1012,Karan Sharma,karan.sharma@gmail.com,Jaipur,Monitor,3,8740,26220,Jun 21 2021,Pending,Paid
ORD1383,Rohit Gupta,rohit.gupta@yahoo.com,Kmlkata,Keyboard,1,915,915,26-09-2021,Out for delivery,Unpaid
ORD1084,Jaya Bose,jaya.bose@yahoo.com,Hyderabad,Microphone,1,3222,3222,14 May 2024,Returned,COD
ORD1091,Amit Iyer,amitiyer@outlook.com,Ahmedabad,SSD,2,4135,8270,2019/04/26,Out for delivery,Paid
ORD1282,Neha Patel,,Delhi,Monitor,2,,19482,Jul 24 2015,Pending,Paid
ORD1542,Sourav Kaur,sourav.kaur@outlook.com,Hyderabad,Monitor,one,9399,9399,31.12.2020,Delayed,Refunded
ORD1531,Neha Verma,neha.vermayahoo.com,Hyderabad,Graphic Card,3,23286,69858,Jul 29 2024,Cancelled,Paid
ORD1530,Karan Kaur,karan.kaur@yahoo.com,Delhi,Power Bank,1,1131,1131,2018-03-15,Returned,Paid
ORD1119,Imran Bose,imranbose@outlook.com,Pune,Laptop,1,40981,51226,Jul 24 2016,Cancelled,COD
ORD1080,Deepak Kapoor,deepak.kapoor@mail.com,Hyderabad,Tablet,1,14806,14806,Nov 11 2020,Pending,COD
ORD1024,Rohit Khan,rohit.khan@outlook.com,Jaipur,HDMI Cable,1,719,719,08.07.2022,Delivered,Paid
ORD1562,Ritika Patel,ritika.patel@gmail.com,Jaipur,Tablet,1,16154,16154,06-09-2024,Cancelled,Refunded
ORD1288,Rohit Kapoor,rohit.kapoor@hotmail.com,Delhi,Graphic Card,1,27195,27195,2022-07-04,Out for delivery,Refunded
ORD1323,Suresh Bose,suresh.bose@mail.com,Ahmedabad,USB Cable,1,174,217,Jun 16 2019,Cancelled,Unpaid
ORD1133,Ritika Devi,ritika.devi@gmail.com,Kolkana,Monitor,3,7980,23940,26 Aug 2015,Pending,Refunded
ORD1175,Sana Nair,sana.nair@gmail.com,Hyderabad,Keyboard,-1,697,-697,27.11.2017,Returned,Paid
ORD1339,Sourav Nair,sourav.nairmail.com,Mumbah,Power Bank,1,1323,1323,12.06.2016,Cancelled,Refunded
ORD1178,Sourav Singh,sourav.singh@gmail.com,Lucknow,Microphone,1,2615,2615,22 Nov 2017,Delivered,Unpaid
ORD1159,Karan Singh,karan.singh@hotmail.com,Pune,USB Cable,1,188,188,13-Aug-2022,Delivered,Paid
ORD1138,Sana Bose,sana.bose@outlook.com,Jaipur,SSD,2,4408,11020,2019-04-29,In Transit,COD
ORD1397,Meena Kumar,meena.kumar@yahoo.com,Kolkata,USB Cable,4,226,904,31.05.2016,Out for delivery,Refunded
ORD1010,Sneha Devi,,Kolkata,Router,2,3237,6474,2020-01-20,Delayed,Paid
ORD1572,Suresh Iyer,suresh.iyer@hotmail.com,Ahmedabad,Microphone,1,3151,3151,2017/11/04,In Transit,Unpaid
ORD1576,Vijay Singh,vijay.singh@hotmail.com,Hyderabad,Speaker,1,1614,1614,Jan 20 2022,Cancelled,COD
ORD1305,Ramesh Iyer,rameshiyer@mail.com,Pune,Power Bank,1,1067,1067,Jan 11 2021,Out for delivery,Unpaid
ORD1599,Deepak Khan,deepak.khan@yahoo.com,Pune,Router,2,3332,6664,2022-11-30,Pending,Unpaid
ORD1248,Pooja Kaur,pooja.kaur@mail.com,Hyderabsd,Phone Case,1,269,134,2021-10-13,Cancelled,COD
ORD1085,Sana Khan,sana.khan@outlookcon,Lucknow,Headphones Pro,2,1568,3136,01/06/2020,Out for delivery,Unpaid
ORD1189,Rita Kaur,rita.kaur@hotmail.com,Ahmedabad,Charger,1,,536,2022-12-04,Pending,Paid
ORD1200,Rohit Chowdhury,rohitchowdhury@gmail.com,Benvaluru,Router,1,3259,3259,04/10/2024,In Transit,Refunded
ORD1210,Rohit Verma,rohit.verma@yahoo.com,Jaipur,Webcam,1,2345,2345,Feb 15 2021,Delayed,Refunded
ORD1328,Deepak Sharma,deepaksharma@outlook.com,Mumbai,Smartwatch,1,7153,7153,14-Nov-2018,Delayed,Refunded
ORD1487,Meena Sharma,,Chennai,Laptop,1,39158,39158,03 Jun 2017,Cancelled,Unpaid
ORD1183,Vijay Chowdhury,vijay.chowdhury@gmail.com,Lucknow,Speaker,1,1971,1971,Dec 21 2023,Out for delivery,Paid
ORD1076,Geeta Kapoor,geeta.kapoor@hotmail.com,Mumnai,Tablet,3,14053,42159,01 Jul 2020,Pending,Refunded
ORD1093,Suresh Kumar,suresh.kumar@outlook.com,Mumbai,Speaker,1,1656,1656,2024-10-07,Delayed,Paid
ORD1303,Ritika Bose,ritika.bose@hotmail.com,Chhnnai,Ink Cartridge,1,918,1009,04 Sep 2022,Pending,Refunded
ORD1069,Sneha Nair,sneha.nair@hotmail.com,Ahmedabad,Microphone,1,2855,2855,04/11/2022,Out for delivery,COD
ORD1016,Vijay Chowdhury,vijay.chowdhury@outlook.com,Chennai,Headphones,1,1671,1671,05/05/2023,In Transit,Refunded
ORD1569,Anita Kumar,anita.kumar@outlook.com,Ahmedabad,Printer,1,8731,8731,May 27 2020,Pending,COD
ORD1588,Vikas Iyer,vikas.iyer@gmail.com,Hyderabad,Monitor,1,7836,7836,2018-06-13,Cancelled,Refunded
ORD1089,Sana Verma,sana.verma@mail.com,Chenqai,Webcam,1,2446,2446,03-Feb-2020,Returned,COD
ORD1513,Anita Bose,,Jaipur,Ink Cartridge - refurbished,1,899,899,18-08-2016,Out for delivery,Unpaid
ORD1118,Akhil Kapoor,akhil.kapoor@gmail.com,Pune,SSD ,1,4572,4572,25-11-2019,Delayed,Unpaid
ORD1394,Geeta Reddy,geeta.reddy@yahoo.com,Hyderabad,Keyboard,1,798,798,08 May 2016,In Transit,Unpaid
ORD1418,Rita Singh,rita.singh@gmail.com,Mumbai,Printer,1,6909,6909,18.07.2018,Delivered,COD
ORD1034,Amit Kumar,amit.kumar@yahoo.com,Bengaluru,Microphone,one,2971,2971,Aug 06 2019,In Transit,Refunded
ORD1001,Imran,imran.devi@gmail.com,Delhi,HDMI Cable,1,1668,1668,18-Feb-2016,Pending,Unpaid
ORD1497,Sahil Chowdhury,sahil.chowdhurymail.com,Bengaluru,Router,2,3313,6626,2021/05/28,Cancelled,Unpaid
ORD1468,Sneha Gupta,sneha.gupta@gmail.com,Kolkata,Smartwatch,1,7104,7104,28/05/2016,Returned,COD
ORD1355,Anita Devi,anita.devi@mail.com,Mumbai,Headphones,3,1306,3918,2018-04-07,Pending,Unpaid
ORD1341,Ritika Khan,ritika.khan@mail.com,Jaipur,Microphone,1,3112,3112,2016-01-16,Delivered,Paid
ORD1250,Ritika Sharma,ritika.sharma@outlook.com,Pune,Headphones,2,1534,3068,Sep 10 2015,Cancelled,COD
ORD1258,Sneha Chowdhury,sneha.chowdhury@mail.com,Mumbai,Charger,1,522,522,Jan 06 2022,Delivered,Unpaid
ORD1023,Rita Kaur,ritakaur@outlook.com,Jaipur,Laptop,1,43385,43385,10-Jan-2019,In Transit,Refunded
ORD1585,Latika Sharma,latika.sharma@hotmail.com,Ahmedabad,Printer,1,7161,7161,02-Nov-2017,Delayed,Unpaid
ORD1117,Sourav Chowdhury,sourav.chowdhury@yahoo.com,Hyderabad,Webcam,1,2193,2193,04.02.2018,Cancelled,Refunded
ORD1090,Kamal Kaur,kamal.kaur@gmail.com,Kolkata,Graphic Card,1,24675,24675,07/04/2020,Cancelled,COD
ORD1421,Arjun Bose,arjun.bose@gmail.com,Bengaluru,Headphones,1,1401,1401,2016-01-31,Delivered,Unpaid
ORD1297,Akhil Chowdhury,akhil.chowdhury@mail.com,Ahmedabad,USB Cable,1,175,175,28/02/2018,Out for delivery,Refunded
ORD1019,Akhil Gupta,akhil.gupta@hotmail.com,Ahmedabad,Headphones,1,1410,1410,01 February 2015,In Transit,COD
ORD1213,Rita Gupta,rita.gupta@gmail.com,Ahmedabad,Mouse,1,543,543,2020-09-28,In Transit,Unpaid
ORD1329,Amit Bose,amit.bose@mail.com,Ahmedabad,Power Bank,1,1036,1036,Jan 19 2020,Cancelled,COD
ORD1145,Sana,sana.singh@yahoo.com,Delhi,Monitor,1,9152,9152,08.09.2024,In Transit,Refunded
ORD1311,Amit Kumar,amit.kumar@mail.com,Kolkata,Tablet,1,15583,15583,2018-05-05,Out for delivery,Refunded
ORD1281,Geeta Bose,geeta.bose@gmail.com,Kolkata,Laptop,one,42950,42950,Aug 22 2016,Delayed,Refunded
ORD1552,Anita Patel,anita.patel@hotmail.com,Delhi,Power Bank,2,1114,2228,13/11/2019,Cancelled,Paid
ORD1371,Karan Iyer,karan.iyer@yahoo.com,Bengaluru,Graphic Card,1,26188,26188,2018/07/15,Cancelled,Refunded
ORD1260,Sana Sharma,,Mcmbai,Charger,1,542,542,Apr 20 2019,Delayed,Unpaid
ORD1302,Imran Kapoor,imran.kapoor@yahoo.com,Kolknta,Keyboard,1,828,828,03 October 2016,Delivered,COD
ORD1229,Amit Devi,amit.devi@outlook.com,Lucknow,Ink Cartridge,1,770,770,12-09-2023,Pending,COD
ORD1413,Neha Gupta,neha.gupta@gmail.com,Chennai,Monitor,1,8626,8626,2024/08/15,Delivered,COD
ORD1168,Sneha Khan,sneha.khan@mail.com,Bengaluru,SSD,1,4806,4806,28.01.2017,Returned,COD
ORD1055,Geeta Reddy,,Jaipur,Tablet,1,15752,15752,Jul 07 2019,Returned,Paid
ORD1578,Sourav Nair,sourav.nair@outlook.com,Bengaludu,Mouse,2,484,968,2017-05-07,Delivered,Refunded
ORD1047,Sahil Verma,sahil.verma@mail.com,Ahmedabad,Mouse,3,517,1551,2018/03/21,Delivered,COD
ORD1094,Vijay Sharma,vijay.sharma@mail.com,Jaipur,Headphones,1,1525,1525,11.12.2018,Cancelled,Refunded
ORD1546,Sneha Devi,sneha.devi@hotmail.com,Bengaluru,Webcam,2,,4598,26-11-2024,Out for delivery,Paid
ORD1109,Neha Reddy,neha.reddy@mail.com,Hyderabad,Speaker,1,1947,1947,2020-09-10,Pending,COD
ORD1279,Ramesh Khan,rameshkhan@yahoo.com,Hyderabad,Keyboard,1,749,749,11-Dec-2015,Returned,Unpaid
ORD1303,Ritika Bose,ritika.bose@hotmail.com,Chhnnai,Ink Cartridge,1,918,1009,04 Sep 2022,Pending,Refunded
ORD1494,Sahil Gupta,sahil.gupta@hotmail.com,Jaipur,Laptop,1,48661,48661,2020-06-05,Returned,Paid
ORD1450,Sneha Iyer,,Mumbai,Charger,1,552,552,02 Sep 2016,In Transit,Refunded
ORD1470,Vijay Iyer,,Lucknow,Phone Case,1,301,301,Nov 28 2022,Returned,Paid
ORD1524,Kamal Nair,kamal.nair@outlookcon,Jaipur,Speaker,1,1806,1806,22 Nov 2016,Out for delivery,COD
ORD1299,Sourav Patel,sourav.patel@gmail.com,Kolkata,Microphone,2,3341,6682,22.08.2019,Delayed,Paid
ORD1528,Sourav Kapoor,sourav.kapoor@hotmail.com,Bengaluru,Laptop,1,50132,50132,01 February 2023,In Transit,COD
ORD1272,Rita Patel,rita.patel@yahoo.com,Kolkata,Headphones,5,1327,6635,2021/07/11,Pending,Refunded
ORD1350,Anita Iyer,anita.iyer@hotmail.com,Bengaluru,Microphone,1,2866,2866,2020/04/19,Returned,COD
ORD1486,Vikas Nair,vikas.nair@mail.com,Mumbai,Smartwatch,2,7907,15814,23 Aug 2018,Pending,Paid
ORD1070,Akhil Nair,akhil.nair@hotmail.com,Pune,SSD,2,3623,7246,14.01.2019,Returned,Refunded
ORD1577,Sana Chowdhury,sana.chowdhury@outlook.com,Pune,Router,1,3632,3632,20-11-2022,Delayed,Refunded
ORD1416,Latika Iyer,latika.iyer@outlook.com,Lucknow,Phone Case,1,292,292,11 Feb 2016,Returned,Refunded
ORD1285,Rita Verma,rita.verma@gmail.com,Pune,Ink Cartridge,2,,1688,13 August 2017,Returned,Refunded
ORD1539,Sana Chowdhury,sana.chowdhury@yahoo.com,Lucknow,Monitor,1,8312,8312,21/08/2023,Cancelled,COD
ORD1209,Ramesh Patel,ramesh.patel@gmail.com,Pune,USB Cable(used),1,180,180,18-Apr-2023,Out for delivery,COD
ORD1262,Vikas Bose,vikas.bose@yahoo.com,Pune,Tablet,2,13468,26936,09 September 2015,Cancelled,COD
ORD1150,Deepak Patel,deepak.patel@outlook.com,Mumbai,Tablet,1,15663,15663,Mar 06 2015,Pending,COD
ORD1125,Amit Patel,amit.patel@outlook.com,Delhi,Smartwatch,1,6902,6902,2018/07/20,Cancelled,Unpaid
ORD1454,Vijay Patel,vijay.patel@hotmail.com,Hyderabad,Printer,1,8439,8439,08-Aug-2016,Out for delivery,Unpaid
ORD1480,Rita Singh,rita.singh@outlook.com,Bengaluru,Power Bank,1,1062,1062,2020-09-29,Pending,Refunded
ORD1186,Suresh Kapoor,suresh.kapoor@gmail.com,Chennar,Graphic Card - refurbished,2,26382,52764,15/11/2021,Delivered,Unpaid
ORD1375,Sahil,sahilchowdhury@yahoo.com,Chennai,SSD,1,4349,4349,2020-05-30,Returned,Refunded
ORD1361,Meena Kaur,meena.kaur@gmail.com,Chennai,Webcam,1,2469,2469,06 Apr 2015,Out for delivery,Paid
ORD1589,Jaya Kapoor,jayakapoor@outlook.com,Kolkata,SSD,1,3811,3811,Dec 01 2020,Delivered,Refunded
ORD1547,Pooja Bose,poojabose@gmail.com,Bengaluru,SSD,1,4607,4607,15/01/2017,Returned,Unpaid
ORD1396,Priya Iyer,priyaiyer@outlook.com,Pune,Speaker,-1,1691,-1691,2017/02/15,Returned,COD
